# surface charge density and normal field on the reference mesh level
# sigma/eps0 is the vacuum-side normal field; the emitter arc is open only
# at the truncation plane, and the cavity behind it is screened to 3.91e-02 V
i,r_m,z_m,arclen_m,sigma_C_per_m2,En_V_per_m,area_m2,tag,boundary_id,in_edge_zone
177,9.003370093e-04,5.000000000e-04,1.222150172e-03,-9.800640396e-07,-1.106893213e+05,1.242900278e-07,extractor,extractor_surface,0
178,9.223080847e-04,5.000000000e-04,1.244121248e-03,-9.374399659e-07,-1.058753198e+05,1.273230982e-07,extractor,extractor_surface,0
179,9.442791601e-04,5.000000000e-04,1.266092323e-03,-8.970538525e-07,-1.013140755e+05,1.303561687e-07,extractor,extractor_surface,0
180,9.662502355e-04,5.000000000e-04,1.288063398e-03,-8.587847208e-07,-9.699192506e+04,1.333892391e-07,extractor,extractor_surface,0
181,9.882213109e-04,5.000000000e-04,1.310034474e-03,-8.225175133e-07,-9.289587376e+04,1.364223095e-07,extractor,extractor_surface,0
182,1.010192386e-03,5.000000000e-04,1.332005549e-03,-7.881430037e-07,-8.901358548e+04,1.394553800e-07,extractor,extractor_surface,0
183,1.032163462e-03,5.000000000e-04,1.353976625e-03,-7.555576694e-07,-8.533336828e+04,1.424884504e-07,extractor,extractor_surface,0
184,1.054134537e-03,5.000000000e-04,1.375947700e-03,-7.246635353e-07,-8.184415675e+04,1.455215209e-07,extractor,extractor_surface,0
185,1.076105612e-03,5.000000000e-04,1.397918775e-03,-6.953679959e-07,-7.853549197e+04,1.485545913e-07,extractor,extractor_surface,0
186,1.098076688e-03,5.000000000e-04,1.419889851e-03,-6.675836239e-07,-7.539749981e+04,1.515876617e-07,extractor,extractor_surface,0
187,1.120047763e-03,5.000000000e-04,1.441860926e-03,-6.412279683e-07,-7.242086816e+04,1.546207322e-07,extractor,extractor_surface,0
188,1.142018839e-03,5.000000000e-04,1.463832002e-03,-6.162233481e-07,-6.959682369e+04,1.576538026e-07,extractor,extractor_surface,0
189,1.163989914e-03,5.000000000e-04,1.485803077e-03,-5.924966456e-07,-6.691710839e+04,1.606868731e-07,extractor,extractor_surface,0
190,1.185960989e-03,5.000000000e-04,1.507774152e-03,-5.699790999e-07,-6.437395636e+04,1.637199435e-07,extractor,extractor_surface,0
191,1.207932065e-03,5.000000000e-04,1.529745228e-03,-5.486061067e-07,-6.196007113e+04,1.667530139e-07,extractor,extractor_surface,0
192,1.229903140e-03,5.000000000e-04,1.551716303e-03,-5.283170232e-07,-5.966860365e+04,1.697860844e-07,extractor,extractor_surface,0
193,1.251874215e-03,5.000000000e-04,1.573687378e-03,-5.090549817e-07,-5.749313121e+04,1.728191548e-07,extractor,extractor_surface,0
194,1.273845291e-03,5.000000000e-04,1.595658454e-03,-4.907667127e-07,-5.542763753e+04,1.758522253e-07,extractor,extractor_surface,0
195,1.295816366e-03,5.000000000e-04,1.617629529e-03,-4.734023799e-07,-5.346649403e+04,1.788852957e-07,extractor,extractor_surface,0
196,1.317787442e-03,5.000000000e-04,1.639600605e-03,-4.569154256e-07,-5.160444247e+04,1.819183661e-07,extractor,extractor_surface,0
197,1.339758517e-03,5.000000000e-04,1.661571680e-03,-4.412624322e-07,-4.983657920e+04,1.849514366e-07,extractor,extractor_surface,0
198,1.361729592e-03,5.000000000e-04,1.683542755e-03,-4.264029961e-07,-4.815834101e+04,1.879845070e-07,extractor,extractor_surface,0
199,1.383700668e-03,5.000000000e-04,1.705513831e-03,-4.122996202e-07,-4.656549295e+04,1.910175775e-07,extractor,extractor_surface,0
200,1.405671743e-03,5.000000000e-04,1.727484906e-03,-3.989176236e-07,-4.505411812e+04,1.940506479e-07,extractor,extractor_surface,0
201,1.427642818e-03,5.000000000e-04,1.749455981e-03,-3.862250721e-07,-4.362060984e+04,1.970837183e-07,extractor,extractor_surface,0
202,1.449613894e-03,5.000000000e-04,1.771427057e-03,-3.741927333e-07,-4.226166659e+04,2.001167888e-07,extractor,extractor_surface,0
203,1.471584969e-03,5.000000000e-04,1.793398132e-03,-3.627940588e-07,-4.097428996e+04,2.031498592e-07,extractor,extractor_surface,0
204,1.493556045e-03,5.000000000e-04,1.815369208e-03,-3.520052000e-07,-3.975578647e+04,2.061829297e-07,extractor,extractor_surface,0
205,1.515527120e-03,5.000000000e-04,1.837340283e-03,-3.418050643e-07,-3.860377389e+04,2.092160001e-07,extractor,extractor_surface,0
206,1.537498195e-03,5.000000000e-04,1.859311358e-03,-3.321754213e-07,-3.751619328e+04,2.122490705e-07,extractor,extractor_surface,0
207,1.559469271e-03,5.000000000e-04,1.881282434e-03,-3.231010732e-07,-3.649132817e+04,2.152821410e-07,extractor,extractor_surface,0
208,1.581440346e-03,5.000000000e-04,1.903253509e-03,-3.145701074e-07,-3.552783316e+04,2.183152114e-07,extractor,extractor_surface,0
209,1.603411421e-03,5.000000000e-04,1.925224584e-03,-3.065742588e-07,-3.462477477e+04,2.213482819e-07,extractor,extractor_surface,0
210,1.625382497e-03,5.000000000e-04,1.947195660e-03,-2.991094190e-07,-3.378168900e+04,2.243813523e-07,extractor,extractor_surface,0
211,1.647353572e-03,5.000000000e-04,1.969166735e-03,-2.921763491e-07,-3.299866179e+04,2.274144227e-07,extractor,extractor_surface,0
212,1.669324648e-03,5.000000000e-04,1.991137811e-03,-2.857816780e-07,-3.227644184e+04,2.304474932e-07,extractor,extractor_surface,0
213,1.691295723e-03,5.000000000e-04,2.013108886e-03,-2.799393127e-07,-3.161659980e+04,2.334805636e-07,extractor,extractor_surface,0
214,1.713266798e-03,5.000000000e-04,2.035079961e-03,-2.746724564e-07,-3.102175628e+04,2.365136341e-07,extractor,extractor_surface,0
215,1.735237874e-03,5.000000000e-04,2.057051037e-03,-2.700165480e-07,-3.049591376e+04,2.395467045e-07,extractor,extractor_surface,0
216,1.757208949e-03,5.000000000e-04,2.079022112e-03,-2.660236432e-07,-3.004495148e+04,2.425797749e-07,extractor,extractor_surface,0
217,1.779180024e-03,5.000000000e-04,2.100993187e-03,-2.627691290e-07,-2.967738370e+04,2.456128454e-07,extractor,extractor_surface,0
218,1.801151100e-03,5.000000000e-04,2.122964263e-03,-2.603623711e-07,-2.940556227e+04,2.486459158e-07,extractor,extractor_surface,0
219,1.823122175e-03,5.000000000e-04,2.144935338e-03,-2.589643184e-07,-2.924766493e+04,2.516789863e-07,extractor,extractor_surface,0
220,1.845093251e-03,5.000000000e-04,2.166906414e-03,-2.588181219e-07,-2.923115336e+04,2.547120567e-07,extractor,extractor_surface,0
221,1.867064326e-03,5.000000000e-04,2.188877489e-03,-2.603064026e-07,-2.939924114e+04,2.577451271e-07,extractor,extractor_surface,0
222,1.889035401e-03,5.000000000e-04,2.210848564e-03,-2.640613892e-07,-2.982333273e+04,2.607781976e-07,extractor,extractor_surface,0
223,1.911006477e-03,5.000000000e-04,2.232819640e-03,-2.713295883e-07,-3.064420973e+04,2.638112680e-07,extractor,extractor_surface,0
224,1.931906865e-03,5.000000000e-04,2.252649341e-03,-2.837492128e-07,-3.204689338e+04,2.407034057e-07,extractor,extractor_surface,0
225,1.949569477e-03,5.000000000e-04,2.268144864e-03,-3.017921609e-07,-3.408468030e+04,1.898125005e-07,extractor,extractor_surface,0
226,1.963366370e-03,5.000000000e-04,2.280243126e-03,-3.253938351e-07,-3.675027478e+04,1.492465206e-07,extractor,extractor_surface,0
227,1.974138413e-03,5.000000000e-04,2.289688951e-03,-3.563879773e-07,-4.025078131e+04,1.171648493e-07,extractor,extractor_surface,0
228,1.982548804e-03,5.000000000e-04,2.297063907e-03,-3.982149079e-07,-4.497475278e+04,9.186777973e-08,extractor,extractor_surface,0
229,1.989115308e-03,5.000000000e-04,2.302821959e-03,-4.589822838e-07,-5.183787531e+04,7.196401443e-08,extractor,extractor_surface,0
230,1.994242151e-03,5.000000000e-04,2.307317595e-03,-5.516289801e-07,-6.230147719e+04,5.633118151e-08,extractor,extractor_surface,0
231,1.998244985e-03,5.000000000e-04,2.310827625e-03,-9.789889153e-07,-1.105678958e+05,4.406964194e-08,extractor,extractor_surface,0
232,1.998244985e-03,6.000000000e-04,2.314337656e-03,-5.612308812e-07,-6.338592461e+04,4.406964194e-08,extractor,extractor_surface,0
233,1.994242151e-03,6.000000000e-04,2.318833292e-03,-2.956304294e-07,-3.338876876e+04,5.633118151e-08,extractor,extractor_surface,0
234,1.989115308e-03,6.000000000e-04,2.324591343e-03,-2.332071532e-07,-2.633862734e+04,7.196401443e-08,extractor,extractor_surface,0
235,1.982548804e-03,6.000000000e-04,2.331966300e-03,-1.908454378e-07,-2.155425679e+04,9.186777973e-08,extractor,extractor_surface,0
236,1.974138413e-03,6.000000000e-04,2.341412124e-03,-1.602279617e-07,-1.809629128e+04,1.171648493e-07,extractor,extractor_surface,0
237,1.963366370e-03,6.000000000e-04,2.353510387e-03,-1.362110121e-07,-1.538379521e+04,1.492465206e-07,extractor,extractor_surface,0
238,1.949569477e-03,6.000000000e-04,2.369005909e-03,-1.165322756e-07,-1.316126088e+04,1.898125005e-07,extractor,extractor_surface,0
239,1.931906865e-03,6.000000000e-04,2.388835611e-03,-9.982357433e-08,-1.127416500e+04,2.407034057e-07,extractor,extractor_surface,0
240,1.911006477e-03,6.000000000e-04,2.410806686e-03,-8.639786420e-08,-9.757853123e+03,2.638112680e-07,extractor,extractor_surface,0
241,1.889035401e-03,6.000000000e-04,2.432777762e-03,-7.646635744e-08,-8.636179744e+03,2.607781976e-07,extractor,extractor_surface,0
242,1.867064326e-03,6.000000000e-04,2.454748837e-03,-6.906377769e-08,-7.800125675e+03,2.577451271e-07,extractor,extractor_surface,0
243,1.845093251e-03,6.000000000e-04,2.476719912e-03,-6.323656836e-08,-7.141995370e+03,2.547120567e-07,extractor,extractor_surface,0
244,1.823122175e-03,6.000000000e-04,2.498690988e-03,-5.850453733e-08,-6.607555495e+03,2.516789863e-07,extractor,extractor_surface,0
245,1.801151100e-03,6.000000000e-04,2.520662063e-03,-5.456906760e-08,-6.163079974e+03,2.486459158e-07,extractor,extractor_surface,0
246,1.779180024e-03,6.000000000e-04,2.542633139e-03,-5.123474543e-08,-5.786498606e+03,2.456128454e-07,extractor,extractor_surface,0
247,1.757208949e-03,6.000000000e-04,2.564604214e-03,-4.836731682e-08,-5.462648618e+03,2.425797749e-07,extractor,extractor_surface,0
248,1.735237874e-03,6.000000000e-04,2.586575289e-03,-4.587104035e-08,-5.180716890e+03,2.395467045e-07,extractor,extractor_surface,0
249,1.713266798e-03,6.000000000e-04,2.608546365e-03,-4.367553290e-08,-4.932754288e+03,2.365136341e-07,extractor,extractor_surface,0
250,1.691295723e-03,6.000000000e-04,2.630517440e-03,-4.172773371e-08,-4.712768081e+03,2.334805636e-07,extractor,extractor_surface,0
251,1.669324648e-03,6.000000000e-04,2.652488515e-03,-3.998678301e-08,-4.516143531e+03,2.304474932e-07,extractor,extractor_surface,0
252,1.647353572e-03,6.000000000e-04,2.674459591e-03,-3.842064085e-08,-4.339262015e+03,2.274144227e-07,extractor,extractor_surface,0
253,1.625382497e-03,6.000000000e-04,2.696430666e-03,-3.700378652e-08,-4.179241202e+03,2.243813523e-07,extractor,extractor_surface,0
254,1.603411421e-03,6.000000000e-04,2.718401742e-03,-3.571561232e-08,-4.033753640e+03,2.213482819e-07,extractor,extractor_surface,0
255,1.581440346e-03,6.000000000e-04,2.740372817e-03,-3.453927650e-08,-3.900897206e+03,2.183152114e-07,extractor,extractor_surface,0
256,1.559469271e-03,6.000000000e-04,2.762343892e-03,-3.346086776e-08,-3.779100745e+03,2.152821410e-07,extractor,extractor_surface,0
257,1.537498195e-03,6.000000000e-04,2.784314968e-03,-3.246878597e-08,-3.667054128e+03,2.122490705e-07,extractor,extractor_surface,0
258,1.515527120e-03,6.000000000e-04,2.806286043e-03,-3.155327594e-08,-3.563655596e+03,2.092160001e-07,extractor,extractor_surface,0
259,1.493556045e-03,6.000000000e-04,2.828257118e-03,-3.070607150e-08,-3.467971558e+03,2.061829297e-07,extractor,extractor_surface,0
260,1.471584969e-03,6.000000000e-04,2.850228194e-03,-2.992012030e-08,-3.379205516e+03,2.031498592e-07,extractor,extractor_surface,0
261,1.449613894e-03,6.000000000e-04,2.872199269e-03,-2.918936872e-08,-3.296673770e+03,2.001167888e-07,extractor,extractor_surface,0
262,1.427642818e-03,6.000000000e-04,2.894170345e-03,-2.850859191e-08,-3.219786220e+03,1.970837183e-07,extractor,extractor_surface,0
263,1.405671743e-03,6.000000000e-04,2.916141420e-03,-2.787325834e-08,-3.148031071e+03,1.940506479e-07,extractor,extractor_surface,0
264,1.383700668e-03,6.000000000e-04,2.938112495e-03,-2.727942089e-08,-3.080962530e+03,1.910175775e-07,extractor,extractor_surface,0
265,1.361729592e-03,6.000000000e-04,2.960083571e-03,-2.672362864e-08,-3.018190850e+03,1.879845070e-07,extractor,extractor_surface,0
266,1.339758517e-03,6.000000000e-04,2.982054646e-03,-2.620285502e-08,-2.959374205e+03,1.849514366e-07,extractor,extractor_surface,0
267,1.317787442e-03,6.000000000e-04,3.004025721e-03,-2.571443880e-08,-2.904212034e+03,1.819183661e-07,extractor,extractor_surface,0
268,1.295816366e-03,6.000000000e-04,3.025996797e-03,-2.525603561e-08,-2.852439563e+03,1.788852957e-07,extractor,extractor_surface,0
269,1.273845291e-03,6.000000000e-04,3.047967872e-03,-2.482557781e-08,-2.803823268e+03,1.758522253e-07,extractor,extractor_surface,0
270,1.251874215e-03,6.000000000e-04,3.069938948e-03,-2.442124120e-08,-2.758157125e+03,1.728191548e-07,extractor,extractor_surface,0
271,1.229903140e-03,6.000000000e-04,3.091910023e-03,-2.404141754e-08,-2.715259496e+03,1.697860844e-07,extractor,extractor_surface,0
272,1.207932065e-03,6.000000000e-04,3.113881098e-03,-2.368469169e-08,-2.674970556e+03,1.667530139e-07,extractor,extractor_surface,0
273,1.185960989e-03,6.000000000e-04,3.135852174e-03,-2.334982293e-08,-2.637150174e+03,1.637199435e-07,extractor,extractor_surface,0
274,1.163989914e-03,6.000000000e-04,3.157823249e-03,-2.303572959e-08,-2.601676187e+03,1.606868731e-07,extractor,extractor_surface,0
275,1.142018839e-03,6.000000000e-04,3.179794324e-03,-2.274147677e-08,-2.568443007e+03,1.576538026e-07,extractor,extractor_surface,0
276,1.120047763e-03,6.000000000e-04,3.201765400e-03,-2.246626682e-08,-2.537360546e+03,1.546207322e-07,extractor,extractor_surface,0
277,1.098076688e-03,6.000000000e-04,3.223736475e-03,-2.220943217e-08,-2.508353407e+03,1.515876617e-07,extractor,extractor_surface,0
278,1.076105612e-03,6.000000000e-04,3.245707551e-03,-2.197043054e-08,-2.481360346e+03,1.485545913e-07,extractor,extractor_surface,0
279,1.054134537e-03,6.000000000e-04,3.267678626e-03,-2.174884241e-08,-2.456333983e+03,1.455215209e-07,extractor,extractor_surface,0
280,1.032163462e-03,6.000000000e-04,3.289649701e-03,-2.154437073e-08,-2.433240766e+03,1.424884504e-07,extractor,extractor_surface,0
281,1.010192386e-03,6.000000000e-04,3.311620777e-03,-2.135684290e-08,-2.412061203e+03,1.394553800e-07,extractor,extractor_surface,0
282,9.882213109e-04,6.000000000e-04,3.333591852e-03,-2.118621535e-08,-2.392790371e+03,1.364223095e-07,extractor,extractor_surface,0
283,9.662502355e-04,6.000000000e-04,3.355562928e-03,-2.103258075e-08,-2.375438740e+03,1.333892391e-07,extractor,extractor_surface,0
284,9.442791601e-04,6.000000000e-04,3.377534003e-03,-2.089617846e-08,-2.360033343e+03,1.303561687e-07,extractor,extractor_surface,0
285,9.223080847e-04,6.000000000e-04,3.399505078e-03,-2.077740852e-08,-2.346619358e+03,1.273230982e-07,extractor,extractor_surface,0
286,9.003370093e-04,6.000000000e-04,3.421476154e-03,-2.067684994e-08,-2.335262180e+03,1.242900278e-07,extractor,extractor_surface,0
287,8.783659340e-04,6.000000000e-04,3.443447229e-03,-2.059528418e-08,-2.326050070e+03,1.212569573e-07,extractor,extractor_surface,0
288,8.563948586e-04,6.000000000e-04,3.465418304e-03,-2.053372498e-08,-2.319097517e+03,1.182238869e-07,extractor,extractor_surface,0
289,8.344237832e-04,6.000000000e-04,3.487389380e-03,-2.049345596e-08,-2.314549499e+03,1.151908165e-07,extractor,extractor_surface,0
290,8.124527078e-04,6.000000000e-04,3.509360455e-03,-2.047607818e-08,-2.312586836e+03,1.121577460e-07,extractor,extractor_surface,0
291,7.904816325e-04,6.000000000e-04,3.531331531e-03,-2.048356998e-08,-2.313432967e+03,1.091246756e-07,extractor,extractor_surface,0
292,7.685105571e-04,6.000000000e-04,3.553302606e-03,-2.051836293e-08,-2.317362514e+03,1.060916051e-07,extractor,extractor_surface,0
293,7.465394817e-04,6.000000000e-04,3.575273681e-03,-2.058343821e-08,-2.324712175e+03,1.030585347e-07,extractor,extractor_surface,0
294,7.245684063e-04,6.000000000e-04,3.597244757e-03,-2.068244993e-08,-2.335894649e+03,1.000254643e-07,extractor,extractor_surface,0
295,7.025973309e-04,6.000000000e-04,3.619215832e-03,-2.081988376e-08,-2.351416550e+03,9.699239382e-08,extractor,extractor_surface,0
296,6.806262556e-04,6.000000000e-04,3.641186907e-03,-2.100126257e-08,-2.371901638e+03,9.395932338e-08,extractor,extractor_surface,0
297,6.586551802e-04,6.000000000e-04,3.663157983e-03,-2.123341548e-08,-2.398121197e+03,9.092625294e-08,extractor,extractor_surface,0
298,6.366841048e-04,6.000000000e-04,3.685129058e-03,-2.152483290e-08,-2.431034145e+03,8.789318250e-08,extractor,extractor_surface,0
299,6.147130294e-04,6.000000000e-04,3.707100134e-03,-2.188614048e-08,-2.471840551e+03,8.486011206e-08,extractor,extractor_surface,0
300,5.927419540e-04,6.000000000e-04,3.729071209e-03,-2.233073883e-08,-2.522053891e+03,8.182704162e-08,extractor,extractor_surface,0
301,5.707708787e-04,6.000000000e-04,3.751042284e-03,-2.287567847e-08,-2.583599868e+03,7.879397118e-08,extractor,extractor_surface,0
302,5.487998033e-04,6.000000000e-04,3.773013360e-03,-2.354287372e-08,-2.658953506e+03,7.576090074e-08,extractor,extractor_surface,0
303,5.268287279e-04,6.000000000e-04,3.794984435e-03,-2.436081397e-08,-2.751332419e+03,7.272783030e-08,extractor,extractor_surface,0
304,5.048576525e-04,6.000000000e-04,3.816955510e-03,-2.536701951e-08,-2.864974184e+03,6.969475986e-08,extractor,extractor_surface,0
305,4.828865772e-04,6.000000000e-04,3.838926586e-03,-2.661163769e-08,-3.005542491e+03,6.666168942e-08,extractor,extractor_surface,0
306,4.609155018e-04,6.000000000e-04,3.860897661e-03,-2.816283066e-08,-3.180735631e+03,6.362861898e-08,extractor,extractor_surface,0
307,4.389444264e-04,6.000000000e-04,3.882868737e-03,-3.011506047e-08,-3.401222236e+03,6.059554854e-08,extractor,extractor_surface,0
308,4.169733510e-04,6.000000000e-04,3.904839812e-03,-3.260221935e-08,-3.682124215e+03,5.756247810e-08,extractor,extractor_surface,0
309,3.950022756e-04,6.000000000e-04,3.926810887e-03,-3.581917814e-08,-4.045450458e+03,5.452940766e-08,extractor,extractor_surface,0
310,3.730312003e-04,6.000000000e-04,3.948781963e-03,-4.005862408e-08,-4.524257326e+03,5.149633722e-08,extractor,extractor_surface,0
311,3.510601249e-04,6.000000000e-04,3.970753038e-03,-4.577734136e-08,-5.170134441e+03,4.846326678e-08,extractor,extractor_surface,0
312,3.290890495e-04,6.000000000e-04,3.992724113e-03,-5.372159259e-08,-6.067365379e+03,4.543019634e-08,extractor,extractor_surface,0
313,3.071179741e-04,6.000000000e-04,4.014695189e-03,-6.522295861e-08,-7.366340086e+03,4.239712590e-08,extractor,extractor_surface,0
314,2.855031540e-04,6.000000000e-04,4.035953754e-03,-8.268472593e-08,-9.338487920e+03,3.813508527e-08,extractor,extractor_surface,0
315,2.663236329e-04,6.000000000e-04,4.053054231e-03,-1.071517160e-07,-1.210181197e+04,2.861526718e-08,extractor,extractor_surface,0
316,2.510977062e-04,6.000000000e-04,4.066405607e-03,-1.375544294e-07,-1.553552198e+04,2.106437837e-08,extractor,extractor_surface,0
317,2.392099160e-04,6.000000000e-04,4.076829811e-03,-1.742664191e-07,-1.968180739e+04,1.566758136e-08,extractor,extractor_surface,0
318,2.299284193e-04,6.000000000e-04,4.084968601e-03,-2.179152925e-07,-2.461155072e+04,1.175796912e-08,extractor,extractor_surface,0
319,2.226818099e-04,6.000000000e-04,4.091323030e-03,-2.692121230e-07,-3.040506128e+04,8.890807302e-09,extractor,extractor_surface,1
320,2.170239381e-04,6.000000000e-04,4.096284344e-03,-3.291691473e-07,-3.717666197e+04,6.765255473e-09,extractor,extractor_surface,1
321,2.126065189e-04,6.000000000e-04,4.100157869e-03,-3.993646755e-07,-4.510460857e+04,5.174432983e-09,extractor,extractor_surface,1
322,2.091576078e-04,6.000000000e-04,4.103182166e-03,-4.824219302e-07,-5.448517023e+04,3.974459460e-09,extractor,extractor_surface,1
323,2.064648105e-04,6.000000000e-04,4.105543463e-03,-5.829735829e-07,-6.584156506e+04,3.063208156e-09,extractor,extractor_surface,1
324,2.043624152e-04,6.000000000e-04,4.107386957e-03,-7.098406344e-07,-8.017004489e+04,2.367132233e-09,extractor,extractor_surface,1
325,2.027210353e-04,6.000000000e-04,4.108826223e-03,-8.832311298e-07,-9.975292465e+04,1.833242220e-09,extractor,extractor_surface,1
326,2.014394025e-04,6.000000000e-04,4.109950222e-03,-1.136247114e-06,-1.283287793e+05,1.422624664e-09,extractor,extractor_surface,1
327,2.004387014e-04,6.000000000e-04,4.110827625e-03,-2.187700854e-06,-2.470809182e+05,1.104995413e-09,extractor,extractor_surface,1
328,2.000000000e-03,5.017559400e-04,4.114339505e-03,-9.639314233e-07,-1.088672890e+05,4.413158558e-08,extractor,extractor_surface,0
329,2.000000000e-03,5.057611611e-04,4.118838067e-03,-5.295432691e-07,-5.980709697e+04,5.653059928e-08,extractor,extractor_surface,0
330,2.000000000e-03,5.108917805e-04,4.124600744e-03,-4.318403238e-07,-4.877243773e+04,7.241593039e-08,extractor,extractor_surface,0
331,2.000000000e-03,5.174638647e-04,4.131982236e-03,-3.669321412e-07,-4.144164874e+04,9.275856180e-08,extractor,extractor_surface,0
332,2.000000000e-03,5.258823326e-04,4.141437680e-03,-3.218139887e-07,-3.634596368e+04,1.188206125e-07,extractor,extractor_surface,0
333,2.000000000e-03,5.366660868e-04,4.153549744e-03,-2.887786396e-07,-3.261492140e+04,1.522046913e-07,extractor,extractor_surface,0
334,2.000000000e-03,5.500000000e-04,4.168105506e-03,-2.666799599e-07,-3.011907648e+04,1.829130997e-07,extractor,extractor_surface,0
335,2.000000000e-03,5.633339132e-04,4.180217571e-03,-2.583727912e-07,-2.918085731e+04,1.522046913e-07,extractor,extractor_surface,0
336,2.000000000e-03,5.741176674e-04,4.189673015e-03,-2.628013068e-07,-2.968101788e+04,1.188206125e-07,extractor,extractor_surface,0
337,2.000000000e-03,5.825361353e-04,4.197054507e-03,-2.775636508e-07,-3.134829039e+04,9.275856180e-08,extractor,extractor_surface,0
338,2.000000000e-03,5.891082195e-04,4.202817183e-03,-3.055893031e-07,-3.451353298e+04,7.241593039e-08,extractor,extractor_surface,0
339,2.000000000e-03,5.942388389e-04,4.207315745e-03,-3.533904777e-07,-3.991224099e+04,5.653059928e-08,extractor,extractor_surface,0
340,2.000000000e-03,5.982440600e-04,4.210827625e-03,-5.995199392e-07,-6.771032554e+04,4.413158558e-08,extractor,extractor_surface,0
