# Young-Laplace-Residuum (gamma*kappa - delta_p) * a / gamma, ausgewertet
# ALLEIN aus den Knotenkoordinaten: Tangentenwinkel aus den Sehnen,
# Meridiankruemmung aus deren Drehung.  Teilt keinen Code mit dem Loeser.
variant,Pi,s_m,s_over_arclength,residual
pi-1.50,-1.500000000e+00,1.026950144e-06,1.816406198e-01,-2.146537824e-08
pi-1.50,-1.500000000e+00,1.032471382e-06,1.826171823e-01,-2.139898754e-08
pi-1.50,-1.500000000e+00,1.037992619e-06,1.835937448e-01,-2.146860674e-08
pi-1.50,-1.500000000e+00,1.043513856e-06,1.845703072e-01,-2.145122936e-08
pi-1.50,-1.500000000e+00,1.049035094e-06,1.855468697e-01,-2.135563784e-08
pi-1.50,-1.500000000e+00,1.054556331e-06,1.865234322e-01,-2.152872937e-08
pi-1.50,-1.500000000e+00,1.060077568e-06,1.874999946e-01,-2.136155881e-08
pi-1.50,-1.500000000e+00,1.065598806e-06,1.884765571e-01,-2.146318056e-08
pi-1.50,-1.500000000e+00,1.071120043e-06,1.894531196e-01,-2.143020011e-08
pi-1.50,-1.500000000e+00,1.076641280e-06,1.904296821e-01,-2.146478304e-08
pi-1.50,-1.500000000e+00,1.082162518e-06,1.914062445e-01,-2.143704164e-08
pi-1.50,-1.500000000e+00,1.087683755e-06,1.923828070e-01,-2.134248940e-08
pi-1.50,-1.500000000e+00,1.093204992e-06,1.933593695e-01,-2.153096749e-08
pi-1.50,-1.500000000e+00,1.098726230e-06,1.943359319e-01,-2.137488915e-08
pi-1.50,-1.500000000e+00,1.104247467e-06,1.953124944e-01,-2.143956026e-08
pi-1.50,-1.500000000e+00,1.109768704e-06,1.962890569e-01,-2.149709063e-08
pi-1.50,-1.500000000e+00,1.115289942e-06,1.972656194e-01,-2.135821119e-08
pi-1.50,-1.500000000e+00,1.120811179e-06,1.982421818e-01,-2.149037224e-08
pi-1.50,-1.500000000e+00,1.126332416e-06,1.992187443e-01,-2.142485662e-08
pi-1.50,-1.500000000e+00,1.131853654e-06,2.001953068e-01,-2.141632428e-08
pi-1.50,-1.500000000e+00,1.137374891e-06,2.011718693e-01,-2.141223618e-08
pi-1.50,-1.500000000e+00,1.142896128e-06,2.021484317e-01,-2.146144085e-08
pi-1.50,-1.500000000e+00,1.148417366e-06,2.031249942e-01,-2.144214789e-08
pi-1.50,-1.500000000e+00,1.153938603e-06,2.041015567e-01,-2.140214220e-08
pi-1.50,-1.500000000e+00,1.159459840e-06,2.050781191e-01,-2.148108010e-08
pi-1.50,-1.500000000e+00,1.164981078e-06,2.060546816e-01,-2.140164861e-08
pi-1.50,-1.500000000e+00,1.170502315e-06,2.070312441e-01,-2.144579130e-08
pi-1.50,-1.500000000e+00,1.176023552e-06,2.080078066e-01,-2.137369614e-08
pi-1.50,-1.500000000e+00,1.181544790e-06,2.089843690e-01,-2.148486476e-08
pi-1.50,-1.500000000e+00,1.187066027e-06,2.099609315e-01,-2.148890960e-08
pi-1.50,-1.500000000e+00,1.192587264e-06,2.109374940e-01,-2.136155982e-08
pi-1.50,-1.500000000e+00,1.198108502e-06,2.119140564e-01,-2.147618191e-08
pi-1.50,-1.500000000e+00,1.203629739e-06,2.128906189e-01,-2.137964186e-08
pi-1.50,-1.500000000e+00,1.209150976e-06,2.138671814e-01,-2.150054349e-08
pi-1.50,-1.500000000e+00,1.214672214e-06,2.148437439e-01,-2.140975438e-08
pi-1.50,-1.500000000e+00,1.220193451e-06,2.158203063e-01,-2.137318042e-08
pi-1.50,-1.500000000e+00,1.225714688e-06,2.167968688e-01,-2.152049824e-08
pi-1.50,-1.500000000e+00,1.231235926e-06,2.177734313e-01,-2.137199043e-08
pi-1.50,-1.500000000e+00,1.236757163e-06,2.187499937e-01,-2.146593943e-08
pi-1.50,-1.500000000e+00,1.242278401e-06,2.197265562e-01,-2.143346141e-08
pi-1.50,-1.500000000e+00,1.247799638e-06,2.207031187e-01,-2.142774326e-08
pi-1.50,-1.500000000e+00,1.253320875e-06,2.216796812e-01,-2.148237110e-08
pi-1.50,-1.500000000e+00,1.258842113e-06,2.226562436e-01,-2.134047906e-08
pi-1.50,-1.500000000e+00,1.264363350e-06,2.236328061e-01,-2.151892433e-08
pi-1.50,-1.500000000e+00,1.269884587e-06,2.246093686e-01,-2.139999100e-08
pi-1.50,-1.500000000e+00,1.275405825e-06,2.255859311e-01,-2.138215021e-08
pi-1.50,-1.500000000e+00,1.280927062e-06,2.265624935e-01,-2.151656367e-08
pi-1.50,-1.500000000e+00,1.286448299e-06,2.275390560e-01,-2.139585823e-08
pi-1.50,-1.500000000e+00,1.291969537e-06,2.285156185e-01,-2.146569575e-08
pi-1.50,-1.500000000e+00,1.297490774e-06,2.294921809e-01,-2.139337905e-08
pi-1.50,-1.500000000e+00,1.303012011e-06,2.304687434e-01,-2.143261188e-08
pi-1.50,-1.500000000e+00,1.308533249e-06,2.314453059e-01,-2.148932893e-08
pi-1.50,-1.500000000e+00,1.314054486e-06,2.324218684e-01,-2.136608958e-08
pi-1.50,-1.500000000e+00,1.319575723e-06,2.333984308e-01,-2.144485907e-08
pi-1.50,-1.500000000e+00,1.325096961e-06,2.343749933e-01,-2.143966589e-08
pi-1.50,-1.500000000e+00,1.330618198e-06,2.353515558e-01,-2.147937480e-08
pi-1.50,-1.500000000e+00,1.336139435e-06,2.363281182e-01,-2.141352275e-08
pi-1.50,-1.500000000e+00,1.341660673e-06,2.373046807e-01,-2.141759837e-08
pi-1.50,-1.500000000e+00,1.347181910e-06,2.382812432e-01,-2.142947070e-08
pi-1.50,-1.500000000e+00,1.352703147e-06,2.392578057e-01,-2.141273197e-08
pi-1.50,-1.500000000e+00,1.358224385e-06,2.402343681e-01,-2.150181597e-08
pi-1.50,-1.500000000e+00,1.363745622e-06,2.412109306e-01,-2.140836580e-08
pi-1.50,-1.500000000e+00,1.369266859e-06,2.421874931e-01,-2.138085378e-08
pi-1.50,-1.500000000e+00,1.374788097e-06,2.431640556e-01,-2.146347695e-08
pi-1.50,-1.500000000e+00,1.380309334e-06,2.441406180e-01,-2.146366810e-08
pi-1.50,-1.500000000e+00,1.385830571e-06,2.451171805e-01,-2.145690464e-08
pi-1.50,-1.500000000e+00,1.391351809e-06,2.460937430e-01,-2.133199681e-08
pi-1.50,-1.500000000e+00,1.396873046e-06,2.470703054e-01,-2.152547672e-08
pi-1.50,-1.500000000e+00,1.402394283e-06,2.480468679e-01,-2.139983586e-08
pi-1.50,-1.500000000e+00,1.407915521e-06,2.490234304e-01,-2.143325718e-08
pi-1.50,-1.500000000e+00,1.413436758e-06,2.499999929e-01,-2.144161225e-08
pi-1.50,-1.500000000e+00,1.418957995e-06,2.509765553e-01,-2.144183460e-08
pi-1.50,-1.500000000e+00,1.424479233e-06,2.519531178e-01,-2.145259843e-08
pi-1.50,-1.500000000e+00,1.430000470e-06,2.529296803e-01,-2.139285871e-08
pi-1.50,-1.500000000e+00,1.435521707e-06,2.539062427e-01,-2.146050238e-08
pi-1.50,-1.500000000e+00,1.441042945e-06,2.548828052e-01,-2.140125001e-08
pi-1.50,-1.500000000e+00,1.446564182e-06,2.558593677e-01,-2.142685369e-08
pi-1.50,-1.500000000e+00,1.452085419e-06,2.568359302e-01,-2.150854060e-08
pi-1.50,-1.500000000e+00,1.457606657e-06,2.578124926e-01,-2.133758759e-08
pi-1.50,-1.500000000e+00,1.463127894e-06,2.587890551e-01,-2.151707476e-08
pi-1.50,-1.500000000e+00,1.468649131e-06,2.597656176e-01,-2.134616944e-08
pi-1.50,-1.500000000e+00,1.474170369e-06,2.607421800e-01,-2.154002059e-08
pi-1.50,-1.500000000e+00,1.479691606e-06,2.617187425e-01,-2.133704511e-08
pi-1.50,-1.500000000e+00,1.485212843e-06,2.626953050e-01,-2.151902917e-08
pi-1.50,-1.500000000e+00,1.490734081e-06,2.636718675e-01,-2.139973364e-08
pi-1.50,-1.500000000e+00,1.496255318e-06,2.646484299e-01,-2.139775147e-08
pi-1.50,-1.500000000e+00,1.501776555e-06,2.656249924e-01,-2.146704229e-08
pi-1.50,-1.500000000e+00,1.507297793e-06,2.666015549e-01,-2.140051315e-08
pi-1.50,-1.500000000e+00,1.512819030e-06,2.675781174e-01,-2.148220509e-08
pi-1.50,-1.500000000e+00,1.518340267e-06,2.685546798e-01,-2.145200886e-08
pi-1.50,-1.500000000e+00,1.523861505e-06,2.695312423e-01,-2.137459356e-08
pi-1.50,-1.500000000e+00,1.529382742e-06,2.705078048e-01,-2.148638797e-08
pi-1.50,-1.500000000e+00,1.534903979e-06,2.714843672e-01,-2.141425236e-08
pi-1.50,-1.500000000e+00,1.540425217e-06,2.724609297e-01,-2.141709815e-08
pi-1.50,-1.500000000e+00,1.545946454e-06,2.734374922e-01,-2.139178603e-08
pi-1.50,-1.500000000e+00,1.551467691e-06,2.744140547e-01,-2.151337300e-08
pi-1.50,-1.500000000e+00,1.556988929e-06,2.753906171e-01,-2.142335515e-08
pi-1.50,-1.500000000e+00,1.562510166e-06,2.763671796e-01,-2.141476405e-08
pi-1.50,-1.500000000e+00,1.568031403e-06,2.773437421e-01,-2.140711705e-08
pi-1.50,-1.500000000e+00,1.573552641e-06,2.783203045e-01,-2.143870227e-08
pi-1.50,-1.500000000e+00,1.579073878e-06,2.792968670e-01,-2.147173102e-08
pi-1.50,-1.500000000e+00,1.584595115e-06,2.802734295e-01,-2.140833159e-08
pi-1.50,-1.500000000e+00,1.590116353e-06,2.812499920e-01,-2.143699757e-08
pi-1.50,-1.500000000e+00,1.595637590e-06,2.822265544e-01,-2.144320789e-08
pi-1.50,-1.500000000e+00,1.601158827e-06,2.832031169e-01,-2.147141591e-08
pi-1.50,-1.500000000e+00,1.606680065e-06,2.841796794e-01,-2.141430649e-08
pi-1.50,-1.500000000e+00,1.612201302e-06,2.851562419e-01,-2.139981856e-08
pi-1.50,-1.500000000e+00,1.617722539e-06,2.861328043e-01,-2.143009970e-08
pi-1.50,-1.500000000e+00,1.623243777e-06,2.871093668e-01,-2.150593969e-08
pi-1.50,-1.500000000e+00,1.628765014e-06,2.880859293e-01,-2.136705522e-08
pi-1.50,-1.500000000e+00,1.634286251e-06,2.890624917e-01,-2.146870393e-08
pi-1.50,-1.500000000e+00,1.639807489e-06,2.900390542e-01,-2.136466478e-08
pi-1.50,-1.500000000e+00,1.645328726e-06,2.910156167e-01,-2.150106564e-08
pi-1.50,-1.500000000e+00,1.650849963e-06,2.919921792e-01,-2.143957273e-08
pi-1.50,-1.500000000e+00,1.656371201e-06,2.929687416e-01,-2.140618482e-08
pi-1.50,-1.500000000e+00,1.661892438e-06,2.939453041e-01,-2.144188711e-08
pi-1.50,-1.500000000e+00,1.667413675e-06,2.949218666e-01,-2.138526564e-08
pi-1.50,-1.500000000e+00,1.672934913e-06,2.958984290e-01,-2.152882012e-08
pi-1.50,-1.500000000e+00,1.678456150e-06,2.968749915e-01,-2.135652721e-08
pi-1.50,-1.500000000e+00,1.683977387e-06,2.978515540e-01,-2.152223111e-08
pi-1.50,-1.500000000e+00,1.689498625e-06,2.988281165e-01,-2.131642997e-08
pi-1.50,-1.500000000e+00,1.695019862e-06,2.998046789e-01,-2.150049801e-08
pi-1.50,-1.500000000e+00,1.700541099e-06,3.007812414e-01,-2.144063394e-08
pi-1.50,-1.500000000e+00,1.706062337e-06,3.017578039e-01,-2.143501681e-08
pi-1.50,-1.500000000e+00,1.711583574e-06,3.027343663e-01,-2.143687483e-08
pi-1.50,-1.500000000e+00,1.717104811e-06,3.037109288e-01,-2.143405781e-08
pi-1.50,-1.500000000e+00,1.722626049e-06,3.046874913e-01,-2.142857549e-08
pi-1.50,-1.500000000e+00,1.728147286e-06,3.056640538e-01,-2.139876197e-08
pi-1.50,-1.500000000e+00,1.733668523e-06,3.066406162e-01,-2.148896775e-08
pi-1.50,-1.500000000e+00,1.739189761e-06,3.076171787e-01,-2.135922954e-08
pi-1.50,-1.500000000e+00,1.744710998e-06,3.085937412e-01,-2.147944140e-08
pi-1.50,-1.500000000e+00,1.750232235e-06,3.095703037e-01,-2.141564940e-08
pi-1.50,-1.500000000e+00,1.755753473e-06,3.105468661e-01,-2.145295116e-08
pi-1.50,-1.500000000e+00,1.761274710e-06,3.115234286e-01,-2.144338617e-08
pi-1.50,-1.500000000e+00,1.766795947e-06,3.124999911e-01,-2.145206722e-08
pi-1.50,-1.500000000e+00,1.772317185e-06,3.134765535e-01,-2.139728948e-08
pi-1.50,-1.500000000e+00,1.777838422e-06,3.144531160e-01,-2.141968880e-08
pi-1.50,-1.500000000e+00,1.783359659e-06,3.154296785e-01,-2.149506901e-08
pi-1.50,-1.500000000e+00,1.788880897e-06,3.164062410e-01,-2.135152016e-08
pi-1.50,-1.500000000e+00,1.794402134e-06,3.173828034e-01,-2.151861346e-08
pi-1.50,-1.500000000e+00,1.799923371e-06,3.183593659e-01,-2.133142818e-08
pi-1.50,-1.500000000e+00,1.805444609e-06,3.193359284e-01,-2.149167913e-08
pi-1.50,-1.500000000e+00,1.810965846e-06,3.203124908e-01,-2.148656322e-08
pi-1.50,-1.500000000e+00,1.816487083e-06,3.212890533e-01,-2.139565279e-08
pi-1.50,-1.500000000e+00,1.822008321e-06,3.222656158e-01,-2.138380924e-08
pi-1.50,-1.500000000e+00,1.827529558e-06,3.232421783e-01,-2.149149140e-08
pi-1.50,-1.500000000e+00,1.833050795e-06,3.242187407e-01,-2.145354957e-08
pi-1.50,-1.500000000e+00,1.838572033e-06,3.251953032e-01,-2.135726064e-08
pi-1.50,-1.500000000e+00,1.844093270e-06,3.261718657e-01,-2.150000684e-08
pi-1.50,-1.500000000e+00,1.849614507e-06,3.271484282e-01,-2.137659546e-08
pi-1.50,-1.500000000e+00,1.855135745e-06,3.281249906e-01,-2.146493295e-08
pi-1.50,-1.500000000e+00,1.860656982e-06,3.291015531e-01,-2.145988465e-08
pi-1.50,-1.500000000e+00,1.866178219e-06,3.300781156e-01,-2.143740705e-08
pi-1.50,-1.500000000e+00,1.871699457e-06,3.310546780e-01,-2.135883516e-08
pi-1.50,-1.500000000e+00,1.877220694e-06,3.320312405e-01,-2.151925956e-08
pi-1.50,-1.500000000e+00,1.882741931e-06,3.330078030e-01,-2.139274120e-08
pi-1.50,-1.500000000e+00,1.888263169e-06,3.339843655e-01,-2.139706070e-08
pi-1.50,-1.500000000e+00,1.893784406e-06,3.349609279e-01,-2.150216408e-08
pi-1.50,-1.500000000e+00,1.899305643e-06,3.359374904e-01,-2.138149787e-08
pi-1.50,-1.500000000e+00,1.904826881e-06,3.369140529e-01,-2.144177302e-08
pi-1.50,-1.500000000e+00,1.910348118e-06,3.378906153e-01,-2.145179980e-08
pi-1.50,-1.500000000e+00,1.915869355e-06,3.388671778e-01,-2.143709476e-08
pi-1.50,-1.500000000e+00,1.921390593e-06,3.398437403e-01,-2.146006413e-08
pi-1.50,-1.500000000e+00,1.926911830e-06,3.408203028e-01,-2.141206112e-08
pi-1.50,-1.500000000e+00,1.932433067e-06,3.417968652e-01,-2.137403559e-08
pi-1.50,-1.500000000e+00,1.937954305e-06,3.427734277e-01,-2.153354909e-08
pi-1.50,-1.500000000e+00,1.943475542e-06,3.437499902e-01,-2.135853957e-08
pi-1.50,-1.500000000e+00,1.948996779e-06,3.447265526e-01,-2.148456837e-08
pi-1.50,-1.500000000e+00,1.954518017e-06,3.457031151e-01,-2.142940450e-08
pi-1.50,-1.500000000e+00,1.960039254e-06,3.466796776e-01,-2.136488732e-08
pi-1.50,-1.500000000e+00,1.965560491e-06,3.476562401e-01,-2.149657934e-08
pi-1.50,-1.500000000e+00,1.971081729e-06,3.486328025e-01,-2.141764828e-08
pi-1.50,-1.500000000e+00,1.976602966e-06,3.496093650e-01,-2.149235320e-08
pi-1.50,-1.500000000e+00,1.982124203e-06,3.505859275e-01,-2.135906173e-08
pi-1.50,-1.500000000e+00,1.987645441e-06,3.515624900e-01,-2.142168547e-08
pi-1.50,-1.500000000e+00,1.993166678e-06,3.525390524e-01,-2.151765285e-08
pi-1.50,-1.500000000e+00,1.998687915e-06,3.535156149e-01,-2.139106185e-08
pi-1.50,-1.500000000e+00,2.004209153e-06,3.544921774e-01,-2.137898489e-08
pi-1.50,-1.500000000e+00,2.009730390e-06,3.554687398e-01,-2.154144157e-08
pi-1.50,-1.500000000e+00,2.015251627e-06,3.564453023e-01,-2.135209705e-08
pi-1.50,-1.500000000e+00,2.020772865e-06,3.574218648e-01,-2.146215557e-08
pi-1.50,-1.500000000e+00,2.026294102e-06,3.583984273e-01,-2.145759240e-08
pi-1.50,-1.500000000e+00,2.031815339e-06,3.593749897e-01,-2.135035834e-08
pi-1.50,-1.500000000e+00,2.037336577e-06,3.603515522e-01,-2.152081375e-08
pi-1.50,-1.500000000e+00,2.042857814e-06,3.613281147e-01,-2.140107273e-08
pi-1.50,-1.500000000e+00,2.048379051e-06,3.623046771e-01,-2.144078003e-08
pi-1.50,-1.500000000e+00,2.053900289e-06,3.632812396e-01,-2.142682109e-08
pi-1.50,-1.500000000e+00,2.059421526e-06,3.642578021e-01,-2.147339728e-08
pi-1.50,-1.500000000e+00,2.064942764e-06,3.652343646e-01,-2.138801927e-08
pi-1.50,-1.500000000e+00,2.070464001e-06,3.662109270e-01,-2.144086997e-08
pi-1.50,-1.500000000e+00,2.075985238e-06,3.671874895e-01,-2.148347758e-08
pi-1.50,-1.500000000e+00,2.081506476e-06,3.681640520e-01,-2.134321277e-08
pi-1.50,-1.500000000e+00,2.087027713e-06,3.691406145e-01,-2.150876878e-08
pi-1.50,-1.500000000e+00,2.092548950e-06,3.701171769e-01,-2.136791099e-08
pi-1.50,-1.500000000e+00,2.098070188e-06,3.710937394e-01,-2.147435346e-08
pi-1.50,-1.500000000e+00,2.103591425e-06,3.720703019e-01,-2.141349861e-08
pi-1.50,-1.500000000e+00,2.109112662e-06,3.730468643e-01,-2.149549800e-08
pi-1.50,-1.500000000e+00,2.114633900e-06,3.740234268e-01,-2.132794212e-08
pi-1.50,-1.500000000e+00,2.120155137e-06,3.749999893e-01,-2.154934572e-08
pi-1.50,-1.500000000e+00,2.125676374e-06,3.759765518e-01,-2.139325571e-08
pi-1.50,-1.500000000e+00,2.131197612e-06,3.769531142e-01,-2.140962541e-08
pi-1.50,-1.500000000e+00,2.136718849e-06,3.779296767e-01,-2.140235528e-08
pi-1.50,-1.500000000e+00,2.142240086e-06,3.789062392e-01,-2.154757301e-08
pi-1.50,-1.500000000e+00,2.147761324e-06,3.798828016e-01,-2.131854857e-08
pi-1.50,-1.500000000e+00,2.153282561e-06,3.808593641e-01,-2.148394843e-08
pi-1.50,-1.500000000e+00,2.158803798e-06,3.818359266e-01,-2.140664701e-08
pi-1.50,-1.500000000e+00,2.164325036e-06,3.828124891e-01,-2.143732978e-08
pi-1.50,-1.500000000e+00,2.169846273e-06,3.837890515e-01,-2.147609981e-08
pi-1.50,-1.500000000e+00,2.175367510e-06,3.847656140e-01,-2.140050611e-08
pi-1.50,-1.500000000e+00,2.180888748e-06,3.857421765e-01,-2.144000575e-08
pi-1.50,-1.500000000e+00,2.186409985e-06,3.867187389e-01,-2.143751369e-08
pi-1.50,-1.500000000e+00,2.191931222e-06,3.876953014e-01,-2.144670381e-08
pi-1.50,-1.500000000e+00,2.197452460e-06,3.886718639e-01,-2.143215069e-08
pi-1.50,-1.500000000e+00,2.202973697e-06,3.896484264e-01,-2.139918352e-08
pi-1.50,-1.500000000e+00,2.208494934e-06,3.906249888e-01,-2.144629132e-08
pi-1.50,-1.500000000e+00,2.214016172e-06,3.916015513e-01,-2.144651809e-08
pi-1.50,-1.500000000e+00,2.219537409e-06,3.925781138e-01,-2.146352464e-08
pi-1.50,-1.500000000e+00,2.225058646e-06,3.935546763e-01,-2.139150252e-08
pi-1.50,-1.500000000e+00,2.230579884e-06,3.945312387e-01,-2.146748456e-08
pi-1.50,-1.500000000e+00,2.236101121e-06,3.955078012e-01,-2.140378472e-08
pi-1.50,-1.500000000e+00,2.241622358e-06,3.964843637e-01,-2.145415282e-08
pi-1.50,-1.500000000e+00,2.247143596e-06,3.974609261e-01,-2.142837247e-08
pi-1.50,-1.500000000e+00,2.252664833e-06,3.984374886e-01,-2.141849217e-08
pi-1.50,-1.500000000e+00,2.258186070e-06,3.994140511e-01,-2.145026312e-08
pi-1.50,-1.500000000e+00,2.263707308e-06,4.003906136e-01,-2.141808371e-08
pi-1.50,-1.500000000e+00,2.269228545e-06,4.013671760e-01,-2.143570859e-08
pi-1.50,-1.500000000e+00,2.274749782e-06,4.023437385e-01,-2.146265478e-08
pi-1.50,-1.500000000e+00,2.280271020e-06,4.033203010e-01,-2.141087757e-08
pi-1.50,-1.500000000e+00,2.285792257e-06,4.042968634e-01,-2.145385542e-08
pi-1.50,-1.500000000e+00,2.291313494e-06,4.052734259e-01,-2.140032180e-08
pi-1.50,-1.500000000e+00,2.296834732e-06,4.062499884e-01,-2.147425305e-08
pi-1.50,-1.500000000e+00,2.302355969e-06,4.072265509e-01,-2.139526324e-08
pi-1.50,-1.500000000e+00,2.307877206e-06,4.082031133e-01,-2.145665171e-08
pi-1.50,-1.500000000e+00,2.313398444e-06,4.091796758e-01,-2.142813966e-08
pi-1.50,-1.500000000e+00,2.318919681e-06,4.101562383e-01,-2.147648635e-08
pi-1.50,-1.500000000e+00,2.324440918e-06,4.111328008e-01,-2.139459741e-08
pi-1.50,-1.500000000e+00,2.329962156e-06,4.121093632e-01,-2.140813138e-08
pi-1.50,-1.500000000e+00,2.335483393e-06,4.130859257e-01,-2.144614846e-08
pi-1.50,-1.500000000e+00,2.341004630e-06,4.140624882e-01,-2.144860490e-08
pi-1.50,-1.500000000e+00,2.346525868e-06,4.150390506e-01,-2.146797875e-08
pi-1.50,-1.500000000e+00,2.352047105e-06,4.160156131e-01,-2.138452275e-08
pi-1.50,-1.500000000e+00,2.357568342e-06,4.169921756e-01,-2.144550558e-08
pi-1.50,-1.500000000e+00,2.363089580e-06,4.179687381e-01,-2.146574183e-08
pi-1.50,-1.500000000e+00,2.368610817e-06,4.189453005e-01,-2.139848269e-08
pi-1.50,-1.500000000e+00,2.374132054e-06,4.199218630e-01,-2.146565088e-08
pi-1.50,-1.500000000e+00,2.379653292e-06,4.208984255e-01,-2.138316837e-08
pi-1.50,-1.500000000e+00,2.385174529e-06,4.218749879e-01,-2.144495525e-08
pi-1.50,-1.500000000e+00,2.390695766e-06,4.228515504e-01,-2.146485226e-08
pi-1.50,-1.500000000e+00,2.396217004e-06,4.238281129e-01,-2.140215427e-08
pi-1.50,-1.500000000e+00,2.401738241e-06,4.248046754e-01,-2.144386406e-08
pi-1.50,-1.500000000e+00,2.407259478e-06,4.257812378e-01,-2.144312982e-08
pi-1.50,-1.500000000e+00,2.412780716e-06,4.267578003e-01,-2.140736354e-08
pi-1.50,-1.500000000e+00,2.418301953e-06,4.277343628e-01,-2.147380615e-08
pi-1.50,-1.500000000e+00,2.423823190e-06,4.287109252e-01,-2.142065987e-08
pi-1.50,-1.500000000e+00,2.429344428e-06,4.296874877e-01,-2.142575183e-08
pi-1.50,-1.500000000e+00,2.434865665e-06,4.306640502e-01,-2.144602049e-08
pi-1.50,-1.500000000e+00,2.440386902e-06,4.316406127e-01,-2.143769137e-08
pi-1.50,-1.500000000e+00,2.445908140e-06,4.326171751e-01,-2.143099149e-08
pi-1.50,-1.500000000e+00,2.451429377e-06,4.335937376e-01,-2.143908961e-08
pi-1.50,-1.500000000e+00,2.456950614e-06,4.345703001e-01,-2.141671262e-08
pi-1.50,-1.500000000e+00,2.462471852e-06,4.355468626e-01,-2.145844958e-08
pi-1.50,-1.500000000e+00,2.467993089e-06,4.365234250e-01,-2.139614174e-08
pi-1.50,-1.500000000e+00,2.473514326e-06,4.374999875e-01,-2.143879041e-08
pi-1.50,-1.500000000e+00,2.479035564e-06,4.384765500e-01,-2.146437679e-08
pi-1.50,-1.500000000e+00,2.484556801e-06,4.394531124e-01,-2.142935701e-08
pi-1.50,-1.500000000e+00,2.490078038e-06,4.404296749e-01,-2.141579266e-08
pi-1.50,-1.500000000e+00,2.495599276e-06,4.414062374e-01,-2.144495284e-08
pi-1.50,-1.500000000e+00,2.501120513e-06,4.423827999e-01,-2.143159936e-08
pi-1.50,-1.500000000e+00,2.506641750e-06,4.433593623e-01,-2.144019207e-08
pi-1.50,-1.500000000e+00,2.512162988e-06,4.443359248e-01,-2.141001395e-08
pi-1.50,-1.500000000e+00,2.517684225e-06,4.453124873e-01,-2.145810670e-08
pi-1.50,-1.500000000e+00,2.523205462e-06,4.462890497e-01,-2.143124784e-08
pi-1.50,-1.500000000e+00,2.528726700e-06,4.472656122e-01,-2.144686217e-08
pi-1.50,-1.500000000e+00,2.534247937e-06,4.482421747e-01,-2.140203133e-08
pi-1.50,-1.500000000e+00,2.539769174e-06,4.492187372e-01,-2.145207808e-08
pi-1.50,-1.500000000e+00,2.545290412e-06,4.501952996e-01,-2.142922482e-08
pi-1.50,-1.500000000e+00,2.550811649e-06,4.511718621e-01,-2.142336421e-08
pi-1.50,-1.500000000e+00,2.556332886e-06,4.521484246e-01,-2.143400228e-08
pi-1.50,-1.500000000e+00,2.561854124e-06,4.531249871e-01,-2.144050114e-08
pi-1.50,-1.500000000e+00,2.567375361e-06,4.541015495e-01,-2.144163680e-08
pi-1.50,-1.500000000e+00,2.572896598e-06,4.550781120e-01,-2.144788837e-08
pi-1.50,-1.500000000e+00,2.578417836e-06,4.560546745e-01,-2.141314245e-08
pi-1.50,-1.500000000e+00,2.583939073e-06,4.570312369e-01,-2.144990636e-08
pi-1.50,-1.500000000e+00,2.589460310e-06,4.580077994e-01,-2.143266339e-08
pi-1.50,-1.500000000e+00,2.594981548e-06,4.589843619e-01,-2.137910140e-08
pi-1.50,-1.500000000e+00,2.600502785e-06,4.599609244e-01,-2.152297159e-08
pi-1.50,-1.500000000e+00,2.606024022e-06,4.609374868e-01,-2.136383879e-08
pi-1.50,-1.500000000e+00,2.611545260e-06,4.619140493e-01,-2.145889949e-08
pi-1.50,-1.500000000e+00,2.617066497e-06,4.628906118e-01,-2.143579149e-08
pi-1.50,-1.500000000e+00,2.622587734e-06,4.638671742e-01,-2.144531442e-08
pi-1.50,-1.500000000e+00,2.628108972e-06,4.648437367e-01,-2.143478279e-08
pi-1.50,-1.500000000e+00,2.633630209e-06,4.658202992e-01,-2.139376800e-08
pi-1.50,-1.500000000e+00,2.639151446e-06,4.667968617e-01,-2.144552248e-08
pi-1.50,-1.500000000e+00,2.644672684e-06,4.677734241e-01,-2.143980373e-08
pi-1.50,-1.500000000e+00,2.650193921e-06,4.687499866e-01,-2.145651167e-08
pi-1.50,-1.500000000e+00,2.655715158e-06,4.697265491e-01,-2.140880042e-08
pi-1.50,-1.500000000e+00,2.661236396e-06,4.707031115e-01,-2.144022165e-08
pi-1.50,-1.500000000e+00,2.666757633e-06,4.716796740e-01,-2.147273387e-08
pi-1.50,-1.500000000e+00,2.672278870e-06,4.726562365e-01,-2.141060110e-08
pi-1.50,-1.500000000e+00,2.677800108e-06,4.736327990e-01,-2.143086130e-08
pi-1.50,-1.500000000e+00,2.683321345e-06,4.746093614e-01,-2.142953308e-08
pi-1.50,-1.500000000e+00,2.688842582e-06,4.755859239e-01,-2.142120335e-08
pi-1.50,-1.500000000e+00,2.694363820e-06,4.765624864e-01,-2.147563299e-08
pi-1.50,-1.500000000e+00,2.699885057e-06,4.775390489e-01,-2.139691783e-08
pi-1.50,-1.500000000e+00,2.705406294e-06,4.785156113e-01,-2.142693699e-08
pi-1.50,-1.500000000e+00,2.710927532e-06,4.794921738e-01,-2.149722383e-08
pi-1.50,-1.500000000e+00,2.716448769e-06,4.804687363e-01,-2.138369213e-08
